,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
59,michelledarnell,The Boss,33,universal,2016-04-08,70.0,3480.0,23586645.0,3495.0,29000000,63077560,77975209,14897649,Comedy,99.0,['Ben Falcone'],,,0,,34077560,48975209
60,meettheblacks,Meet the Blacks,98,fs,2016-04-01,82.0,1015.0,4055940.0,1015.0,900000,9097072,9097072,0,Comedy,93.0,,,,0,,8197072,8197072
61,smoker,Everybody Wants Some!!,121,paramount,2016-03-30,51.0,19.0,312355.0,454.0,10000000,3400278,4608655,1208377,Comedy,117.0,['Richard Linklater'],,,0,,-6599722,-5391345
62,superman2015,Batman v Superman: Dawn of Justice,7,warnerbros,2016-03-25,84.0,4242.0,166007347.0,4256.0,250000000,330360194,868160194,537800000,Action / Adventure,151.0,['Zack Snyder'],,,0,,80360194,618160194
63,mybigfatgreekwedding2,My Big Fat Greek Wedding 2,36,universal,2016-03-25,63.0,3133.0,17861950.0,3179.0,18000000,59689605,91651878,31962273,Comedy,94.0,['Kirk Jones'],,,0,,41689605,73651878
64,midnightspecial,Midnight Special,120,warnerbros,2016-03-18,70.0,5.0,190012.0,521.0,18000000,3712282,6841142,3128860,Sci-Fi,111.0,['Jeff Nichols'],,,0,,-14287718,-11158858
65,allegiant,The Divergent Series: Allegiant,30,lionsgatesummit,2016-03-18,77.0,3740.0,29027348.0,3740.0,110000000,66184051,171484051,105300000,Action / Adventure,121.0,['Robert Schwentke'],,,0,,-43815949,61484051
66,miraclesfromheaven,Miracles from Heaven,35,tristar,2016-03-16,128.0,3047.0,14812393.0,3155.0,13000000,61705123,73746393,12041270,Drama,109.0,['Patricia Riggen'],,,0,,48705123,60746393
67,badrobot2016,10 Cloverfield Lane,28,paramount,2016-03-11,84.0,3391.0,24727437.0,3427.0,5000000,72082999,106582999,34500000,Thriller,105.0,['Dan Trachtenberg'],['J.J. Abrams'],,0,,67082999,101582999
68,grimsby,The Brothers Grimsby,102,sony,2016-03-11,35.0,2235.0,3258327.0,2235.0,35000000,6864016,28748384,21884368,Comedy,83.0,['Louis Leterrier'],,,0,,-28135984,-6251616
69,christthelord,The Young Messiah,103,focus,2016-03-11,42.0,1761.0,3294876.0,1769.0,16800000,6469813,7155967,686154,Historical Drama,111.0,,,,0,,-10330187,-9644033
70,eyeinthesky,Eye in the Sky,77,bleeckerstreet,2016-03-11,133.0,5.0,113803.0,1089.0,13000000,18704596,32848185,14143589,Drama / Thriller,102.0,['Gavin Hood'],,,0,,5704596,19848185
71,creativecontrol,Creative Control,296,magnolia,2016-03-11,49.0,3.0,6964.0,72.0,1000000,63014,63014,0,Drama,97.0,,,,0,,-936986,-936986
72,theperfectmatch,The Perfect Match,95,lionsgate,2016-03-11,49.0,925.0,4294232.0,925.0,5000000,9669521,9669521,0,Romantic Comedy,96.0,['Bille Woodruff'],,,0,,4669521,4669521
73,untitledtinafeycomedy,Whiskey Tango Foxtrot,69,paramount,2016-03-04,56.0,2374.0,7450275.0,2413.0,35000000,23083334,24888742,1805408,Comedy,112.0,,,,0,,-11916666,-10111258
74,theywillhavetokillusfirst,They Will Have to Kill Us First,469,bbcworldwide,2016-03-04,10.0,2.0,4106.0,2.0,600000,0,7943,7943,Documentary,105.0,,,,0,,-600000,-592057
75,disney2016,Zootopia,6,buenavista,2016-03-04,154.0,3827.0,75063401.0,3959.0,150000000,341268248,1021768248,680500000,Animation,108.0,,,['Michael Giacchino'],0,,191268248,871768248
76,londonhasfallen,London Has Fallen,34,focus,2016-03-04,91.0,3490.0,21635601.0,3492.0,60000000,62524260,193857962,131333702,Action,99.0,,['Peter Schlessel'],,0,,2524260,133857962
77,godsofegypt,Gods of Egypt,58,lionsgatesummit,2016-02-26,77.0,3117.0,14123903.0,3117.0,140000000,31153464,133553464,102400000,Action / Adventure,127.0,['Alex Proyas'],,,0,,-108846536,-6446536
78,eddietheeagle,Eddie the Eagle,82,fox,2016-02-26,91.0,2042.0,6084682.0,2044.0,23000000,15789389,43145662,27356273,Drama,105.0,['Dexter Fletcher'],,,0,,-7210611,20145662
79,triplenine,Triple 9,88,openroads,2016-02-26,49.0,2205.0,6109085.0,2205.0,20000000,12639297,23390380,10751083,Thriller,115.0,['John Hillcoat'],,,0,,-7360703,3390380
80,risen,Risen,52,sony,2016-02-19,91.0,2915.0,11801271.0,2915.0,20000000,36880033,46169871,9289838,Action / Adventure,107.0,['Kevin Reynolds'],,,0,,16880033,26169871
81,thewitch,The Witch,67,a24,2016-02-19,98.0,2046.0,8800230.0,2204.0,3500000,25138705,40454520,15315815,Horror,92.0,,,,0,,21638705,36954520
82,race2016,Race (2016),75,focus,2016-02-19,63.0,2369.0,7353922.0,2387.0,5000000,19115191,22178125,3062934,Drama,134.0,['Stephen Hopkins'],,,0,,14115191,17178125
83,deadpool2016,Deadpool,5,fox,2016-02-12,126.0,3558.0,132434639.0,3856.0,58000000,363070709,783770709,420700000,Action,106.0,['Tim Miller'],,['Junkie XL'],0,,305070709,725770709
84,howtobesingle,How to Be Single,45,wb-newline,2016-02-12,63.0,3343.0,17878911.0,3357.0,37000000,46843513,99595932,52752419,Romantic Comedy,110.0,,,,0,,9843513,62595932
85,zoolander2,Zoolander 2,60,paramount,2016-02-12,49.0,3394.0,13841146.0,3418.0,50000000,28848693,55348693,26500000,Comedy,100.0,['Ben Stiller'],,,0,,-21151307,5348693
86,thelittleprince,The Little Prince,151,entertainmentone,2016-02-12,122.0,52.0,116927.0,163.0,77500000,1311213,90794805,89483592,Animation,108.0,,,,0,,-76188787,13294805
87,prideprejudicezombies,Pride and Prejudice and Zombies,92,screengems,2016-02-05,24.0,2931.0,5324240.0,2931.0,28000000,10907291,16311335,5404044,Comedy,108.0,['Burr Steers'],['Natalie Portman'],,0,,-17092709,-11688665
