,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
197,197,The Night Visitor,17,The Visitor,11,12652,87,5093,100,2015,2008.0
198,198,Spectre,7,Spectre,7,537,100,537,100,2015,2015.0
199,199,The Peanuts Movie,17,The Peanuts Movie,17,551,100,551,100,2015,2015.0
200,200,Spotlight,9,Spotlight,9,589,100,589,100,2015,2015.0
201,201,Brooklyn,8,Brooklyn,8,597,100,597,100,2015,2015.0
202,202,Our Brand is Crisis,19,Our Brand Is Crisis (2015),26,6519,95,666,100,2015,2015.0
203,203,Regression,10,Regression,10,307,100,307,100,2015,2016.0
204,204,Burnt,5,Burnt,5,642,100,642,100,2015,2015.0
205,205,Scout's Guide to the Zombie Apocalypse,38,The Scout,9,684,99,11380,100,2015,1994.0
206,206,Freaks of Nature,16,Freaks of Nature,16,936,100,936,100,2015,2015.0
207,207,Dancin' It's On,15,That's Dancing!,15,9266,62,13501,71,2015,1985.0
208,208,Running Forever,15,Forever,7,9529,89,6025,100,2015,2007.0
209,209,The Horror Network,18,The Horror Show,15,12591,73,12591,80,2015,1989.0
210,210,Paranormal Activity: The Ghost Dimension,40,Paranormal Activity: The Ghost Dimension,40,631,100,631,100,2015,2015.0
211,211,Jem and the Holograms,21,Jem and the Holograms,21,708,100,708,100,2015,2015.0
212,212,The Last Witch Hunter,21,The Witch,9,614,100,66,100,2015,2016.0
213,213,The Looking Glass,17,Alice Through the Looking Glass,31,1208,100,25,100,2015,2016.0
214,214,Rotor DR1,9,Doctor Detroit,14,4469,52,13797,61,2015,1983.0
215,215,Beginners Guide to Sex,22,Beginners,9,1665,62,3436,100,2015,2011.0
216,216,Goosebumps,10,Goosebumps,10,565,100,565,100,2015,2015.0
217,217,Nie yin niang,13,My Life in Ruins,16,4281,65,4573,62,2015,2009.0
218,218,Room,4,Green Room,10,638,100,125,100,2015,2016.0
219,219,Bridge of Spies,15,Bridge of Spies,15,569,100,569,100,2015,2015.0
220,220,Crimson Peak,12,Crimson Peak,12,610,100,610,100,2015,2015.0
221,221,8 Days,6,28 Days,7,9296,92,9296,92,2015,2000.0
222,222,Pan,3,Pan,3,600,100,600,100,2015,2015.0
223,223,Western Religion,16,The Revisionaries,17,5725,58,3103,61,2015,2012.0
224,224,Steve Jobs,10,Steve Jobs,10,632,100,632,100,2015,2015.0
225,225,Trash,5,Trash,5,1057,100,1057,100,2015,2015.0
