,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL
116,pixar2013,The Good Dinosaur,26,buenavista,2015-11-25,135.0,3749.0,39938321.34,3749.0,215378562.68423998,138616088.8394383,376537212.46828634,237921123.62884805,Animation,100.0,['Peter Sohn'],,,0,
117,creed,Creed,29,wb-newline,2015-11-25,100.0,3404.0,30225479.46,3502.0,42501369.70302336,123616124.5757171,195465286.9247603,71849162.3490432,Drama,133.0,['Ryan Coogler'],,,1,/oscar/movies/?id=creed.htm
118,xmas2015,The Night Before,66,sony,2015-11-20,56.0,2960.0,10078146.72,2960.0,28717141.691232003,48465216.18078021,59041706.8069508,10576490.62617059,Comedy,101.0,['Jonathan Levine'],,,0,
119,secretintheireyes2015,The Secret in their Eyes (2015),101,stx,2015-11-20,56.0,2392.0,6786055.92,2392.0,22973713.3529856,22726132.175922513,34695440.21131527,11969308.035392754,Thriller,111.0,['Billy Ray'],,,0,
120,hungergames4,The Hunger Games: Mockingjay - Part 2,7,lionsgate,2015-11-20,98.0,4175.0,104719300.62,4175.0,183789706.8238848,317266871.0408141,732595036.3382281,415328165.297414,Action / Adventure,137.0,['Francis Lawrence'],,['James Newton Howard'],0,
121,33,The 33,123,warnerbros,2015-11-13,70.0,2452.0,5903011.32,2452.0,28717141.691232003,13770400.989607638,31634911.398653425,17864510.409045786,Drama,120.0,,,['James Horner'],0,
122,myallamerican,My All American,180,clarius,2015-11-13,17.0,1565.0,1392300.0,1565.0,22973713.3529856,2529360.793666944,2529360.793666944,0.0,Drama,118.0,['Angelo Pizzo'],[],['John Paesano'],0,
123,heist2015,Heist (2015),437,lionsgatepremiere,2015-11-13,14.0,24.0,29261.760000000002,24.0,10223302.442078594,56461.279052219914,3743571.095518681,3687109.8164664614,Action Thriller,93.0,,,,0,
124,bythesea,By the Sea,253,universal,2015-11-13,28.0,10.0,98175.0,142.0,22973713.3529856,606393.4162768935,3880672.360764718,3274278.9444878246,Drama,122.0,['Angelina Jolie'],,,0,
125,lovethecoopers,Love the Coopers,92,lionsgate,2015-11-13,63.0,2603.0,8483895.9,2603.0,20676342.017687038,29621147.17621021,47487212.815557,17866065.639346793,Comedy,107.0,['Jessie Nelson'],,,0,
